name,id,url,source,download_format,sf_compatible,browser_compatible,spatial_filtering,temporal_filtering,NEW_PROVIDER,NEW_PROVIDER_TYPE,provider_name,provider_type,environment,spatial_filtering_clean,temporal_filtering_clean,sf_compatible_clean,Cefas_holding_id_name,Cefas_holding_ID,Second level,Third Level,Fourth Level,Unnamed: 22,spatial_filter_type,epsg_code
Bb P50 2018 Ukms,cefas_13113_zip,https://data-api.cefas.co.uk/api/recordsets/13113/data/1,https://data.cefas.co.uk/view/22184,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,UK Marine Strategy Descriptor 11 Ship Noise Assessment Data for - 2018 to 2022,13113,"Climate Change, Conservation & Human Impacts",UK Marine Strategy Descriptor 11 Ship Noise Assessment Data for - 2018 to 2022,,,,
Bb P50 2021 Ukms,cefas_13114_zip,https://data-api.cefas.co.uk/api/recordsets/13114/data/1,https://data.cefas.co.uk/view/22184,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,UK Marine Strategy Descriptor 11 Ship Noise Assessment Data for - 2018 to 2022,13114,"Climate Change, Conservation & Human Impacts",UK Marine Strategy Descriptor 11 Ship Noise Assessment Data for - 2018 to 2022,,,,
Bbicfra BT4 - 25 Jan 2022 - Haul by Spp,cefas_11853_json,https://data-api.cefas.co.uk/api/recordsets/11853/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/21421,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,11853,Fisheries Science,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,,,,
Bbicfra OT4 - 07 Mar 2022 - Haul by Spp,cefas_11855_json,https://data-api.cefas.co.uk/api/recordsets/11855/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/21421,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,11855,Fisheries Science,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,,,,
Bbicn Spa OT4 - 25 Jan 2022 - Haul by Spp,cefas_11857_json,https://data-api.cefas.co.uk/api/recordsets/11857/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/21421,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,11857,Fisheries Science,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,,,,
Bbicpor OT4 - 25 Jan 2022 - Haul by Spp,cefas_11858_json,https://data-api.cefas.co.uk/api/recordsets/11858/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/21421,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,11858,Fisheries Science,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,,,,
Bbics Spa OT1 - 25 Jan 2022 - Haul by Spp,cefas_11859_json,https://data-api.cefas.co.uk/api/recordsets/11859/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/21421,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,11859,Fisheries Science,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,,,,
Bbics Spa OT4 - 25 Jan 2022 - Haul by Spp,cefas_11860_json,https://data-api.cefas.co.uk/api/recordsets/11860/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/21421,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,11860,Fisheries Science,A Data Product Derived from Northeast Atlantic Groundfish Data from Scientific Trawl Surveys - 1983-2020,,,,
Biomass Data with Functional Group and Environmentals,cefas_3225_json,https://data-api.cefas.co.uk/api/recordsets/3225/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/268,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,"Benthic Faunal Biomass with Environmental Data, Celtic Seas",3225,Benthic & Planktonic Ecology,"Benthic Faunal Biomass with Environmental Data, Celtic Seas",,,,
Biomass Data with Functional Group and Environmentals,cefas_3224_json,https://data-api.cefas.co.uk/api/recordsets/3224/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/268,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,"Benthic Faunal Biomass with Environmental Data, Celtic Seas",3224,Benthic & Planktonic Ecology,"Benthic Faunal Biomass with Environmental Data, Celtic Seas",,,,
