name,id,url,source,download_format,sf_compatible,browser_compatible,spatial_filtering,temporal_filtering,NEW_PROVIDER,NEW_PROVIDER_TYPE,provider_name,provider_type,environment,spatial_filtering_clean,temporal_filtering_clean,sf_compatible_clean,Cefas_holding_id_name,Cefas_holding_ID,Second level,Third Level,Fourth Level,Unnamed: 22,spatial_filter_type,epsg_code
BGS Geology 625k Bedrock,bgs_625k_bedrock,"https://ogcapi.bgs.ac.uk/collections/bgsgeology625kbedrock/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://www.bgs.ac.uk/datasets/bgs-geology-625k/,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Terrestrial,Yes,No,Yes,,,Geology,,,,A,4326
BGS Geology 625k Dykes,bgs_625k_dykes,"https://ogcapi.bgs.ac.uk/collections/bgsgeology625kdykes/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://www.bgs.ac.uk/datasets/bgs-geology-625k/,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Terrestrial,Yes,No,Yes,,,Geology,,,,A,4326
BGS Geology 625k Faults,bgs_625k_faults,"https://ogcapi.bgs.ac.uk/collections/bgsgeology625kfaults/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://www.bgs.ac.uk/datasets/bgs-geology-625k/,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Terrestrial,Yes,No,Yes,,,Geology,,,,A,4326
BGS Geology 625k Superficial,bgs_625k_superficial,"https://ogcapi.bgs.ac.uk/collections/bgsgeology625ksuperficial/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://www.bgs.ac.uk/datasets/bgs-geology-625k/,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Terrestrial,Yes,No,Yes,,,Geology,,,,A,4326
BGS Offshore 250k Backscatter Polygons & Data,bgs_offshore_backscatter,"https://ogcapi.bgs.ac.uk/collections/offshorebackscatterareas/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshorebackscatterareas,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Bedrock Summary Lithologies,bgs_offshore_bedrock_lithologies,"https://ogcapi.bgs.ac.uk/collections/offshore-factor-map-bsl/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-factor-map-bsl,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Core Sample Analysis Data,bgs_offshore_core_samples,"https://ogcapi.bgs.ac.uk/collections/offshore-core-sample-data/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-core-sample-data,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Geophysical Data - Gravity,bgs_offshore_gravity,"https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-data-gravity/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-data-gravity,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Geophysical Survey Lines,bgs_offshore_geophysical_lines,"https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-survey-lines/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-survey-lines,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Geophysical Survey Shot Points,bgs_offshore_shotpoints,"https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-survey-shot-points/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-survey-shot-points,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Geotechnical Data,bgs_offshore_geotechnical,"https://ogcapi.bgs.ac.uk/collections/offshore-sample-geotechnical-data/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-sample-geotechnical-data,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Hydrocarbon Wells,bgs_offshore_hydrocarbon_wells,"https://ogcapi.bgs.ac.uk/collections/offshore-hydrocarbon-wells/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-hydrocarbon-wells,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Oil & Gas Industry Site Surveys,bgs_offshore_oil_gas_surveys,"https://ogcapi.bgs.ac.uk/collections/offshore-oil-gas-site-surveys/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-oil-gas-site-surveys,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Quaternary Deposits Summary Lithologies,bgs_offshore_quaternary,"https://ogcapi.bgs.ac.uk/collections/offshore-factor-map-qdsl/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-factor-map-qdsl,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Sample Geochemical Data,bgs_offshore_geochemical,"https://ogcapi.bgs.ac.uk/collections/offshore-sample-geochemical-data/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-sample-geochemical-data,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Seabed Sediment Data,bgs_offshore_seabed_sediment,"https://ogcapi.bgs.ac.uk/collections/offshore-seabed-sediment-data/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-seabed-sediment-data,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Strategic Environmental Assessment Areas,bgs_offshore_sea_areas,"https://ogcapi.bgs.ac.uk/collections/offshore-sea-areas/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-sea-areas,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Strategic Environmental Assessment Point Data,bgs_offshore_sea_points,"https://ogcapi.bgs.ac.uk/collections/offshore-sea-doc-event-point/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-sea-doc-event-point,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Strategic Environmental Assessment Polygon Data,bgs_offshore_sea_polygons,"https://ogcapi.bgs.ac.uk/collections/offshore-sea-doc-event-area/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-sea-doc-event-area,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore Sample Activity Data,bgs_offshore_samples,"https://ogcapi.bgs.ac.uk/collections/offshore-sample-activity-data/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore Survey Overview,bgs_offshore_surveys,"https://ogcapi.bgs.ac.uk/collections/offshore-survey-overview/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-survey-overview/items,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
Abalone shellfish production,caba_abalone_production,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/15/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
American Mink (Neovison vison) occurences points,caba_american_mink_points,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/NBNatlas_occurrences_AmericanMink_view/FeatureServer/1?f=pjson,https://www.arcgis.com/home/item.html?id=16eddbbd0eb843a4a0f1de77afde4ea0,json,F,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Terrestrial,No,No,Yes,,,Biodiversity & Nature,Invasive Species,,,,
American Mink (Neovison vison) occurences polygons,caba_american_mink_polygons,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/NBNatlas_occurrences_AmericanMink_view/FeatureServer/0?f=pjson,https://www.arcgis.com/home/item.html?id=16eddbbd0eb843a4a0f1de77afde4ea0,json,F,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Terrestrial,No,No,Yes,,,Biodiversity & Nature,Invasive Species,,,,
Big River Watch Data,caba_big_river_watch,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/The_Big_River_Watch_view/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::big-river-watch-uk-and-ireland/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Water Quality & Pollution,Water Quality Monitoring,,,,
Blue mussel shellfish production,caba_blue_mussel_production,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/16/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
CaBA Catchment Parterships,caba_catchment_partnerships,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/CaBA_Partnerships/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::caba-catchment-partnerships-1/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Catchment Planning & Reference,,,,,
Chinese Mitten Crab (Eriocheir sinensis) occurrence points,caba_chinese_mitten_crab_points,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/NBNatlas_occurrences_ChineseMittenCrab_view/FeatureServer/1?f=pjson,https://www.arcgis.com/home/item.html?id=c3fb4f1ed739445ba2299b3184029778,json,F,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Coastal,No,No,Yes,,,Biodiversity & Nature,Invasive Species,,,,
Chinese Mitten Crab (Eriocheir sinensis) occurrence polygons,caba_chinese_mitten_crab_polygons,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/NBNatlas_occurrences_ChineseMittenCrab_view/FeatureServer/0?f=pjson,https://www.arcgis.com/home/item.html?id=c3fb4f1ed739445ba2299b3184029778,json,F,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Coastal,No,No,Yes,,,Biodiversity & Nature,Invasive Species,,,,
Coastal Partnerships Network,caba_coastal_partnerships,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/Coastal_Partnerships/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::coastal-partnerships/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Coastal,No,No,Yes,,,Land & Coastal Management,,,,,
Cockle Farm,caba_cockle_farm,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/13/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
Cockle Farm (S-AQ-1),caba_cockle_farm_aq,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/6/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
Current Bathing Water Status,caba_bathing_status,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/Bathing_Water_Status_2018_England/FeatureServer/0/query?where=1%3D1&outFields=*&geometry=&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outSR=4326&f=json,https://data.catchmentbasedapproach.org/datasets/theriverstrust::current-bathing-water-status-england/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Coastal,No,No,Yes,,,Water Quality & Pollution,Pollution & Status,,,,
EA River Flood Gauges with CaBA catchments,caba_river_flood_gauges,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/EA_River_Flood_Gauges_with_CaBA_catchments/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::ea-river-flood-gauges-with-caba-catchments/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Hydrology & Flooding,,,,,
EA Water Quality Continuous Monitoring Sonde Historical Locations (Up to March 2022),caba_historical_sondes_locations,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/NWQIS_Jan20_sites/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::ea-water-quality-continuous-monitoring-sonde-historical-locations-up-to-march-2022/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Water Quality & Pollution,Water Quality Monitoring,,,,
EA Water Quality Sampling Sites (Open WIMS),caba_water_quality_sampling_sites_wims,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/Environment_Agency_Water_Quality_Sampling_Sites_(WIMS)/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::environment-agency-water-quality-sampling-sites-open-wims/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Water Quality & Pollution,Water Quality Monitoring,,,,
Environment Agency Water Quality Sampling Sites,caba_wims_ss,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/Environment_Agency_Water_Quality_Sampling_Sites_(WIMS)/FeatureServer/0/query?where=1%3D1&outFields=*&geometry=&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outSR=4326&f=json,https://data.catchmentbasedapproach.org/datasets/theriverstrust::environment-agency-water-quality-sampling-sites-open-wims/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,Yes,No,Yes,,,Water Quality & Pollution,Water Quality Monitoring,,,C,4326
Environmental Pollution Incidents (Category 1 and 2) 2001 to 2023,caba_pollution_incidents,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/Category_3_and_4_Water_Environmental_Pollution_Incidents_2001_to_2023/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::environmental-pollution-incidents-category-1-and-2-2001-to-2023/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Water Quality & Pollution,Pollution & Status,,,,
Environmental Pollution Incidents (Category 1 and 2) CaBA Identity,caba_pollution_incidents_identity,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/Cat1_2_Env_Pollution_Incidents_identity/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::category-1-2-environmental-pollution-incidents-caba-identity/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Water Quality & Pollution,Pollution & Status,,,,
Eutrophic Lakes Sensitive Areas,caba_eutrophic_lakes,https://services-eu1.arcgis.com/KB6uNVj5ZcJr7jUP/arcgis/rest/services/SensitiveAreasEutrophicLakes/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/defra-open::sensitive-areas-eutrophic-lakes-1/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Water Quality & Pollution,Senstive Areas,,,,
Eutrophic Rivers Sensitive Areas,caba_eutrophic_rivers,https://services-eu1.arcgis.com/KB6uNVj5ZcJr7jUP/arcgis/rest/services/SensitiveAreasEutrophicRivers/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/defra-open::native-oyster-bed-potential-1/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Coastal,No,No,Yes,,,Water Quality & Pollution,Senstive Areas,,,,
Flood Defences,caba_spatial_flood_defences,https://services-eu1.arcgis.com/KB6uNVj5ZcJr7jUP/arcgis/rest/services/SpatialFloodDefencesIncStandardisedAttributes/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/defra-open::aims-spatial-flood-defences-inc-standardised-attributes/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Hydrology & Flooding,,,,,
Giant Hogweed (Heracleum mantegazzianum) occurences,caba_giant_hogweed_occurences,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/NBNatlas_occurrences_GiantHogweed_view/FeatureServer?f=pjson,https://data.catchmentbasedapproach.org/maps/88c47270cd454598b314b162d8b34a72/about,json,F,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Biodiversity & Nature,Invasive Species,,,,
Hard Clam Cultivation,caba_hard_clam_cultivation,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/11/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
Hard Clam Cultivation (S-AQ-1),caba_hard_clam_cultivation_aq,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/4/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
High Intensity Fish Nursery Grounds,caba_fish_nursery_grounds,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Fish_Habitat/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/Defra::high-intensity-fish-nursery-grounds-no-species-1/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,UK Government,Freshwater,No,No,Yes,,,Biodiversity & Nature,Native Species & Habitats,,,,
High Intensity Fish Spawning Grounds,caba_fish_spawning_grounds,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Fish_Habitat/FeatureServer/1/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/Defra::fish-habitat/about?layer=1,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,UK Government,Freshwater,No,No,Yes,,,Biodiversity & Nature,Native Species & Habitats,,,,
Himalayan Balsam (Impatiens glandulifera) occurences,caba_himalayan_balsam,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/NBNatlas_occurrences_HimalayanBalsam_view/FeatureServer?f=pjson,https://data.catchmentbasedapproach.org/maps/a7d8b12030494b88a5bea499b9a39010/about,json,F,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Biodiversity & Nature,Invasive Species,,,,
Historic Flood Map,caba_historical_flooding,https://services-eu1.arcgis.com/KB6uNVj5ZcJr7jUP/arcgis/rest/services/HistoricFloodMap/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/defra-open::historic-flood-map/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,UK Government,Freshwater,No,No,Yes,,,Hydrology & Flooding,,,,,
Historical Oyster Habitat and Fisheries in English Coastal Waters¶ÿ,caba_historical_oyster_habitat,https://environment.data.gov.uk/arcgis/rest/services/EA/HistoricalOysterHabitatAndFisheries/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::historical-oyster-habitat-and-fisheries-in-english-coastal-waters-ea/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Coastal,No,No,Yes,,,Land & Coastal Management,,,,,
Important Bird Areas (RSPB),caba_important_bird_areas,https://services1.arcgis.com/h1C9f6qsGKmqXsVs/arcgis/rest/services/IBAs_UK/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/RSPB::ibas-uk/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Biodiversity & Nature,Native Species & Habitats,,,,
Japanese Knotweed (Fallopia japonica) occurences,caba_japanese_knotweed_occurences,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/NBNatlas_occurrences_JapaneseKnotweed_view/FeatureServer?f=pjson,https://data.catchmentbasedapproach.org/maps/1a7af7ebc8b94b38abaf01a1f046e057/about,json,F,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Biodiversity & Nature,Invasive Species,,,,
Lake Sites of Special Scientific Interest,caba_lake_ssi,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/Join_Features_to_Sites_of_Special_Scientific_Interest_Units_(England)/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::lake-sites-of-special-scientific-interest-units-england/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Biodiversity & Nature,Protected Areas,,,,
LIDAR Composite DTM (Digital Terrain Model),caba_lidar_dtm,https://utility.arcgis.com/usrsvcs/servers/f9c4694d7d5140638536c4afe4119e6d/rest/services/LIDAR/LIDAR_Composite_1m_DTM/ImageServer/kml/mapImage.kmz,https://data.catchmentbasedapproach.org/datasets/defra-open::lidar-composite-digital-terrain-model-1m-2022-hillshade-standard/about,kmz,F,T,F,F,CABA,Non-Government Organisation,CaBA,UK Government,Freshwater,No,No,No,,,,,,,,
Manila Clam Cultivation,caba_manila_clam_cultivation,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/12/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
Manila Clam Cultivation (S-AQ-1),caba_manila_clam_cultivation_aq,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/5/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
Modular River Survey: MoRPh Rivers Citizen Science,caba_modular_river_survey,https://services3.arcgis.com/Bb8lfThdhugyc4G3/arcgis/rest/services/MoRPh_Rivers_Citizen_Science/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/theriverstrust::modular-river-survey-morph-rivers-citizen-science/about,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,NGO/Charity,Freshwater,No,No,Yes,,,Biodiversity & Nature,Native Species & Habitats,,,,
Mussel Cultivation,caba_mussel_cultivation,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/10/query?where=1%3D1&geometry={xmin}%2C{ymin}%2C{xmax}%2C{ymax}&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&returnGeometry=true&f=geojson,https://data.catchmentbasedapproach.org/maps/Defra::aquaculture/about,geojson,T,T,T,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,Yes,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
Mussel Cultivation (S-AQ-1),caba_mussel_cultivation,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Aquaculture/FeatureServer/3/query?outFields=*&where=1%3D1&f=geojson,https://data.catchmentbasedapproach.org/datasets/Defra::aquaculture/about?layer=3,geojson,T,T,F,F,CABA,Non-Government Organisation,CaBA,UK Government,Coastal,No,No,Yes,,,Land & Coastal Management,Aquaculture,,,,
